nfib.com, 87448, , , 78937
restaurant.org, 55881, , , 48897
phrma.org, 7565, , , 7519
ustelecom.org, 12284, , , 12163
uschamber.org, 153, , , 153
fao.org, 222826, , , 188451
iaea.org, 22961, , , 20359
worldbank.org, 242914, , , 160197
icao.int, 8273, , , 6457
ifad.org, 6058, , , 5128
ilo.org, 34237, , , 31078
imo.org, 5905, , , 5905
imf.org, 107814, , , 69093
itu.int, 37734, , , 25653
un.org, 754808, , , 369900
unesco.org, 158217, , , 129167
unido.org, 3693, , , 3609
upu.int, 8840, , , 6694
who.int, 340398, , , 263570
wmo.int, 18062, , , 14323
wto.org, 39870, , , 23947
democrats.org, 758822, , , 644080
gp.org, 30117, , , 22038
lp.org, 119708, , , 86392
gop.com, 191080, , , 148404
teapartypatriots.org, 254569, , , 184858
aarp.org, 11172190, , , 4497916
plannedparenthood.org, 681012, , , 538665
peta.org, 1184545, , , 649176
aclu.org, 426143, , , 289362
sierraclub.org, 303849, , , 221673
frc.org, 941256, , , 224868
amnestyusa.org, 231354, , , 177551
nature.org, 382113, , , 329922
nra.org, 334277, , , 226488
greenpeace.org/usa, 185743, , , 145911
adl.org, 130753, , , 112288
hrc.org, 92608, , , 73721
worldwildlife.org, 182944, , , 153958
vfw.org, 194083, , , 133817
naacp.org, 98428, , , 80624
hrw.org, 114371, , , 74776
pfaw.org, 115462, , , 84444
commoncause.org, 58865, , , 41200
now.org, 71872, , , 44777
cc.org, 38772, , , 24316
, , , ,
abercrombie.com, 2122087, , , 1155957
ae.com, 5111227, , , 2902143
anntaylor.com, 1396657, , , 835941
anntaylorloft.com, 1676187, , , 896879
anthropologie.com, 1343351, , , 641263
bananarepublic.com, 765884, , , 554018
express.com, 2641463, , , 1481699
gap.com, 16137227, , , 7631163
gymboree.com, 2019187, , , 813182
hm.com/us, 795291, , , 665500
jcrew.com, 2936646, , , 1295301
kohls.com, 20487535, , , 11596774
macys.com, 21875695, , , 11846420
nordstrom.com, 8313840, , , 4709047
oldnavy.com, 4158340, , , 2697352
piperlime.com, 349880, , , 266775
ralphlauren.com, 1987649, , , 1213449
shopbop.com, 1729701, , , 1209517
target.com, 59675956, , , 33225180
tjmaxx.com, 902753, , , 815976
urbanoutfitters.com, 2763101, , , 1480527
